Year,TotalInvestments,TotalIncome,TotalExpenses,TaxesPaid,CashBalance
2025,24070.2461943712110,76819.2454648034948602375,2575.003695498271753444265,0,-2575.003695498271753444265
2026,21497.6925658654453,77850.95265511674572216408,14499.232107748340539476570,9349.22,-14499.232107748340539476570
2027,6985.77089980884431019,79282.63134494121170476337,6985.77089980884431019,9534.61,-26608.853415411742123545220
2028,0.162652647343207906,79908.94278941042361358821,0.162652647343207906,9791.89,-38975.754904297643738301120
2029,0.260388237320049296,81179.189022512034503332,0.260388237320049296,9904.43,-51455.194454449820663454695
2030,0.26445545777807555,82691.50040288717142996239,0.26445545777807555,10132.70,-64162.903349302053869000195
2031,0.270018624898425453,84019.4827412129383197463,0.270018624898425453,10404.46,-77142.374052745049214024645
2032,0.20387003784751476,84913.91451301067882705493,0.20387003784751476,10643.10,-90360.484359201749109629995
2033,0.235624822352800354,86785.894116608375486397164,0.235624822352800354,10803.83,-103739.316790828062855797570
2034,0.203880734224331798,88197.301734326822078361375,0.203880734224331798,11140.23,-117454.562320679690280100220
2035,0.235161407829401565,89426.3567060489506373554,0.235161407829401565,11393.86,-131423.432289120194381186350
2036,0.22919125052187937,90201.5838485490124247544,0.22919125052187937,11614.71,-145613.156540044476788530590
2037,0.214897447169585571,91036.59986453543900293015,0.214897447169585571,11754.02,-159942.192335690382952676945
2038,0.236281048947664365,92307.38632795296512537207,0.236281048947664365,11904.08,-174421.276005203533567063980
2039,0.209100150738457392,93638.75510304779373547057,0.209100150738457392,12132.44,-189128.718134897156916936505
2040,0.192318859545146004,95192.28073098892074935253,0.192318859545146004,12371.68,-204075.404888562302237830760
2041,0.25576481732459873,96422.5556962670964890093,0.25576481732459873,12650.85,-219301.265036413852441046480
2042,0.25791881328283534,97571.92001493997726615333,0.25791881328283534,12871.95,-234748.225034148791220748185
2043,0.199825907146318135,98430.82144310227975931149,0.199825907146318135,13078.47,-250401.712245973402160394135
2044,0.169485934035806453,99609.64149725101706835299,0.169485934035806453,13232.82,-266209.535233304703398259060
2045,0.201921553840651006,101552.54988959771901310184,0.201921553840651006,13444.66,-282229.208569834444735983165
2046,0.223688431436945844,102296.82444489713519066246,0.223688431436945844,13793.80,-298598.021780431542385957805
2047,0.25073062902537011,103124.5294543014852142889,0.25073062902537011,13927.54,-315100.564495405566979272155
2048,0.231160131242455588,104554.06881864189245068841,0.231160131242455588,14076.27,-331751.839305673101665117185
2049,0.232472107736063036,105198.68408532482711328967,0.232472107736063036,14333.18,-348660.036660556516765441485
2050,0.218243323823886783,106794.04563770458652600309,0.218243323823886783,14449.00,-365684.044241484303271732935
2051,0.209532436131325295,108569.387553942346177065426,0.209532436131325295,14735.69,-382994.741921635995554794185
2052,0.23301508920661542,109727.74566942595957947034,0.23301508920661542,15054.72,-400624.469109864466197595340
2053,0.294524624427735035,110295.82163621325187437488,0.294524624427735035,15262.88,-418462.353458868884218404440
2054,0.21155624822544454,111188.39505514497432326208,0.21155624822544454,15364.97,-436402.333095746812262925040
2055,0.195075924197358345,112359.84922834840160768417,0.195075924197358345,15525.36,-454502.715434850431296996840
2056,0.235118461148747135,113055.11296295478251655374,0.235118461148747135,15735.86,-472813.577509887101839278885
2057,0.30486996213215215,114524.4441892782020206266,0.30486996213215215,15860.80,-491249.386521488147438175160
2058,0.23240151296505687,115062.42359476153145478862,0.23240151296505687,16124.84,-509949.233244975838613835000
2059,0.266762350968687714,116644.96518359539111184894,0.266762350968687714,16221.52,-528745.756397503561922804080
2060,0.26023614840333994,118005.25119320352784444516,0.26023614840333994,16505.90,-547826.662036129331925059595
2061,0.270503731177379496,118647.08578888109994674239,0.270503731177379496,16750.34,-567152.009415167747148388340
2062,0.18943357974810639,119509.44708262199058701611,0.18943357974810639,16865.68,-586592.701638580807865384715
2063,0.249966549369242166,120829.6756183548585411647,0.249966549369242166,17020.64,-606188.357364470269305467190
2064,0.238185537392917514,122578.375053025923982562771,0.238185537392917514,17257.89,-626021.254175617724700203640
2065,0.258751112041677114,0.01408204151901394453,0.258751112041677114,17572.14,-646168.407165088775974712440
2066,0.25661206774864548,0.00376819396106382142,0.25661206774864548,0.00,-648743.419151975891281812840
2067,0.25272062177051987,0.01037218592788192858,0.25272062177051987,0.00,-651318.435655788468237078390
2068,0.19462733582089002,0.01154189448583585655,0.19462733582089002,0.00,-653893.453418066212881004190
2069,0.266164685260467414,0.00716443280041276632,0.266164685260467414,0.00,-656468.457853792534037569775
