Year,TotalInvestments,TotalIncome,TotalExpenses,TaxesPaid,CashBalance
2025,12082.0987875171114,76304.90078813302362890998,5150.015291808360666060695,0,-5150.015291808360666060695
2026,6943.16356202946540876,77547.72252516216461646326,6943.16356202946540876,9775.97,-14925.98382090359009327680
2027,0.13484648724545004,78853.12073214779887749585,0.13484648724545004,10062.08,-15212.09259285433801628020
2028,0.087319677129779623,80271.98679960326135555418,0.087319677129779623,10361.33,-15511.34398027669536742920
2029,0.093154745932687855,81195.71608189268890397137,0.093154745932687855,10682.88,-15832.87988011475599550430145
2030,0.078496046611222456,83122.0771083827404487837,0.078496046611222456,10917.47,-16067.482968375907532353425
2031,0.08871143002095391,83852.24439382646401170937,0.08871143002095391,11334.29,-16484.30015869259694654635
2032,0.09111378532247685,85534.1119296742887057888,0.09111378532247685,11538.28,-16688.280114953404670011140
2033,0.129687178639417196,87494.03727276735365670029,0.129687178639417196,11915.46,-17065.464655585475557040040
2034,0.125078242659775996,88546.97321384433445845221,0.125078242659775996,12344.87,-17494.880280488230961793890
2035,0.08606131422803336,89078.87871381656251888955,0.08606131422803336,12613.60,-17763.612964885964514873070
2036,0.13224715218057112,90094.7808831188307621994,0.13224715218057112,12791.09,-17941.104487595983378960125
2037,0.10160025430781589,91352.48018990778725296213,0.10160025430781589,13058.01,-18208.023234560727397072295
2038,0.13241173858451864,92214.97630896347410173273,0.13241173858451864,13370.91,-18520.915291056250919850170
2039,0.04723531875916647,94037.289316398945882076632,0.04723531875916647,13615.41,-18765.41483152009165595660
2040,0.143662564175354016,94947.15533722942781707331,0.143662564175354016,14035.05,-19185.06701085059619230120
2041,0.062198305087518198,95489.56020953791476895379,0.062198305087518198,14293.51,-19443.514980477510037045820
2042,0.11543016490700692,97357.00902480399895978056,0.11543016490700692,14488.77,-19638.78283742131912801830
2043,0.105939918262425885,98405.16405052507579854035,0.105939918262425885,14925.09,-20075.096778883264969313090
2044,0.112337802823619314,99018.06446784182493504498,0.112337802823619314,15217.20,-20367.211353319208012185630
2045,0.13902578383384652,100139.12561819581547090145,0.13902578383384652,15434.20,-20584.214073200006767161380
2046,0.11155888781816165,101191.53317494837369680951,0.11155888781816165,15745.74,-20895.75875152194957073785
2047,0.08824495532242865,102079.37807012723080494972,0.08824495532242865,16048.23,-21198.236135340165575315890
2048,0.111307402874593597,103493.29349641340369021436,0.111307402874593597,16324.55,-21474.561683273008357178910
2049,0.11138865453640206,105216.98422850245868876681,0.11138865453640206,16698.91,-21848.92110403791448299530
2050,0.083588599999450755,106862.93201979193853695365,0.083588599999450755,17132.55,-22282.554715012152222745960
2051,0.13484609980710576,108329.0438424752574120488,0.13484609980710576,17555.93,-22705.936694469162552589980
2052,0.11088286619824564,109246.18844280848712467259,0.11088286619824564,17950.84,-23100.853180481845406121190
2053,0.070137672675670133,109924.53719972860312352266,0.070137672675670133,18271.64,-23421.646573142944258987630
2054,0.085581197698597572,111606.44464431359419839922,0.085581197698597572,18678.40,-23828.414925487440758125390
2055,0.090303881111156625,112150.46377408214544982395,0.090303881111156625,19372.37,-24522.377692761567830376840
2056,0.11329492605790293,112978.48862605959494817072,0.11329492605790293,19754.78,-24904.784120563481517974295
2057,0.122187132812546104,114877.97426098001959200216,0.122187132812546104,20223.55,-25373.552194174480816109475
2058,0.11371930195013547,115841.2605528517120186226,0.11371930195013547,20999.11,-26149.1246115823869498615
2059,0.081802014835632086,117822.93804032453415488481,0.081802014835632086,21520.14,-26670.1403664701656789808655
2060,0.136555788481238914,119237.200605316885608021022,0.136555788481238914,22333.56,-27483.569139506617964471845
2061,0.11620751352975004,119876.02846706542486794786,0.11620751352975004,22996.06,-28146.07202793772802837735
2062,0.09270029573610799,121454.85273117807135141086,0.09270029573610799,23449.66,-28599.67194193176424261745
2063,0.108111251145712558,122624.38172242343068743724,0.108111251145712558,24174.44,-29324.461675554424584419575
2064,0.10578674758393937,123125.5250139390118276436,0.10578674758393937,24793.24,-29943.253632259355954330640
2065,0.049086047660343020,0.00814496414065471584,0.049086047660343020,25233.83,-25233.83
2066,0.09458412981188275,0.01410693321743522932,0,0.00,0.00
2067,0.18961487263112334,0.01265222571399765654,0,0.00,0.00
2068,0.26275284540686276,0.00768659392388705892,0,0.00,0.00
2069,0.36133383298785865,0.01807886823383601925,0,0.00,0.00
2070,0.4525918160349720,0.01924408293266172625,0,0.00,0.00
2071,0.58135144378477248,0.01239405935645764744,0,0.00,0.00
2072,0.65053075446610018,0.003359023364201437665,0,0.00,0.00
2073,0.7529741595209037,0.00926839101503029055,0,0.00,0.00
2074,0.84560621775540297,0.00469841758563879322,0,0.00,0.00
2075,0.96175707740823833,0.01325136978546715219,0,0.00,0.00
2076,1.0514186328215195,0.0147919561185903299,0,0.00,0.00
2077,1.1475717970058493,0.01097550888507543222,0,0.00,0.00
2078,1.2411896805144265,0.00640688278442536885,0,0.00,0.00
2079,1.39979935779513444,0.01343040768938683558,0,0.00,0.00
