Year,TotalInvestments,TotalIncome,TotalExpenses,TaxesPaid,CashBalance
2025,26309.6,1800.00,0,0,0
2026,26309.6,1800.00,44.48,44.48,-44.48
2027,41095.288,1800.00,1053.950,45.95,-1053.950
2028,49695.2272,1800.00,1068.580,60.58,-1068.580
2029,55340.72248,1800.00,1069.090,61.09,-1069.090
2030,59185.680872,1800.00,1069.280,61.28,-1069.280
2031,61865.6665528,1800.00,1069.400,61.40,-1069.400
2032,63762.03031432,1800.00,1069.470,61.47,-1069.470
2033,65117.610191288,1800.00,1069.510,61.51,-1069.510
2034,66093.7459066632,1800.00,1069.530,61.53,-1069.530
2035,66800.71691117368,1800.00,1069.560,61.56,-1069.560
2036,67315.285322349193,1800.00,1069.570,61.57,-1069.570
2037,67691.542858594555,1800.00,1069.570,61.57,-1069.570
2038,67967.893605507492,1800.00,1069.580,61.58,-1069.580
2039,68171.758366700773,1800.00,1069.580,61.58,-1069.580
2040,68322.822234667959,1800.00,1069.580,61.58,-1069.580
2041,68435.260788129903,1800.00,1069.580,61.58,-1069.580
2042,68519.325659372951,1800.00,1069.580,61.58,-1069.580
2043,68582.458499143551,1800.00,1069.580,61.58,-1069.580
2044,68630.081880041214,1800.00,1069.580,61.58,-1069.580
2045,68666.162740771337,1800.00,1069.580,61.58,-1069.580
2046,68693.6150104258785,1800.00,1048.160,40.16,-1048.160
2047,68723.156161643653,1800.00,1047.870,39.87,-1047.870
2048,68742.785828961700,1800.00,1047.860,39.86,-1047.860
2049,68756.591849855995,1800.00,1047.860,39.86,-1047.860
2050,68766.729053338992,1800.00,1047.860,39.86,-1047.860
2051,68774.37404119855,1800.00,1047.860,39.86,-1047.860
2052,68780.232910771768,1800.00,1047.860,39.86,-1047.860
2053,68784.767310623961,1800.00,1047.860,39.86,-1047.860
2054,68788.298858918760,1800.00,1047.860,39.86,-1047.860
2055,68791.061283634722,1800.00,1047.860,39.86,-1047.860
2056,68793.229000139974,1800.00,1047.860,39.86,-1047.860
2057,68794.934315647483,1800.00,39.86,39.86,-39.86
2058,69199.478647102024,1800.00,25.76,25.76,-25.76
2059,69367.460279374114,1800.00,25.56,25.56,-25.56
2060,69435.147946877514,1800.00,25.56,25.56,-25.56
2061,69462.552151944151,1800.00,25.56,25.56,-25.56
2062,69473.775132895775,1800.00,25.56,25.56,-25.56
2063,69478.471956347318,1800.00,25.56,25.56,-25.56
2064,69480.515804936294,1800.00,25.56,25.56,-25.56
2065,69481.464749784723,1800.00,25.56,25.56,-25.56
2066,69481.948969086677,1800.00,25.56,25.56,-25.56
2067,69482.226031820129,1800.00,25.56,25.56,-25.56
2068,69482.403320269484,1800.00,25.56,25.56,-25.56
2069,69482.527240676083,1800.00,25.56,25.56,-25.56
2070,69482.619096899662,1800.00,25.56,25.56,-25.56
2071,69482.689588665471,1800.00,25.56,25.56,-25.56
2072,69482.744727972226,1800.00,25.56,25.56,-25.56
2073,69482.788298000811,1800.00,25.56,25.56,-25.56
2074,69482.822909614819,1800.00,25.56,25.56,-25.56
2075,69482.850481652995,1800.00,25.56,25.56,-25.56
2076,69482.872478739685,1800.00,25.56,25.56,-25.56
