Year,TotalInvestments,TotalIncome,TotalExpenses,TaxesPaid,CashBalance
2025,0,2250.60,0,0,0
2026,0,2250.60,0,3902.15,-3902.15
2027,0,2250.60,0,3309.33,-3309.33
2028,0,2250.60,0,2775.79,-2775.79
2029,0,2250.60,0,2295.61,-2295.61
2030,0,2250.60,0,1863.44,-1863.44
2031,0,2250.60,0,1508.21,-1508.21
2032,0,2250.60,0,1219.54,-1219.54
2033,0,2250.60,0,946.00,-946.00
2034,0,2250.60,0,717.64,-717.64
2035,0,2250.60,0,521.00,-521.00
2036,0,2250.60,0,344.14,-344.14
2037,0,2250.60,0,219.31,-219.31
2038,0,2250.60,0,196.56,-196.56
2039,0,2250.60,0,177.33,-177.33
2040,0,2250.60,0,160.05,-160.05
2041,0,2250.60,0,144.50,-144.50
2042,0,2250.60,0,132.80,-132.80
2043,0,2250.60,0,122.72,-122.72
2044,0,2250.60,0,113.65,-113.65
2045,0,2250.60,0,105.48,-105.48
2046,0,2250.60,0,98.14,-98.14
2047,0,2250.60,0,91.52,-91.52
2048,0,2250.60,0,85.57,-85.57
2049,0,2250.60,0,80.22,-80.22
2050,0,2250.60,0,75.39,-75.39
2051,0,2250.60,0,71.06,-71.06
2052,0,2250.60,0,67.15,-67.15
2053,0,2250.60,0,63.64,-63.64
2054,0,2250.60,0,60.47,-60.47
2055,0,2250.60,0,57.63,-57.63
2056,0,2250.60,0,55.07,-55.07
2057,0,2250.60,0,52.76,-52.76
2058,0,2250.60,0,50.69,-50.69
2059,0,2250.60,0,48.82,-48.82
2060,0,2250.60,0,47.13,-47.13
2061,0,2250.60,0,45.63,-45.63
2062,0,2250.60,0,44.26,-44.26
2063,0,2250.60,0,43.04,-43.04
2064,0,2250.60,0,41.93,-41.93
2065,0,2250.60,0,40.95,-40.95
2066,0,2250.60,0,40.05,-40.05
2067,0,2250.60,0,39.24,-39.24
2068,0,2250.60,0,38.52,-38.52
2069,0,2250.60,0,37.87,-37.87
