2025-04-14 22:29:40.811  INFO 35230 --- [main] c.a.l.i.SimulationServiceIntegrationTest : Starting SimulationServiceIntegrationTest using Java 17.0.10 on MacBook-Pro.local with PID 35230 (started by seongminsohn in /Users/seongminsohn/Desktop/2025Spring/416/lifetime-financial-planner)
2025-04-14 22:29:40.812  INFO 35230 --- [main] c.a.l.i.SimulationServiceIntegrationTest : No active profile set, falling back to 1 default profile: "default"
2025-04-14 22:29:41.188  INFO 35230 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-04-14 22:29:41.231  INFO 35230 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 37 ms. Found 11 JPA repository interfaces.
2025-04-14 22:29:41.296  WARN 35230 --- [main] o.m.s.mapper.ClassPathMapperScanner      : No MyBatis mapper was found in '[com.app.lifetimefinancialplanner]' package. Please check your configuration.
2025-04-14 22:29:41.503  INFO 35230 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2025-04-14 22:29:41.965  INFO 35230 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2025-04-14 22:29:42.026  INFO 35230 --- [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2025-04-14 22:29:42.052  INFO 35230 --- [main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.6.15.Final
2025-04-14 22:29:42.131  INFO 35230 --- [main] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2025-04-14 22:29:42.188  INFO 35230 --- [main] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.Oracle10gDialect
2025-04-14 22:29:45.736  INFO 35230 --- [main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2025-04-14 22:29:45.745  INFO 35230 --- [main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-04-14 22:29:46.247  WARN 35230 --- [main] o.mybatis.spring.SqlSessionFactoryBean   : Property 'mapperLocations' was specified but matching resources are not found.
2025-04-14 22:29:46.372  WARN 35230 --- [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-04-14 22:29:46.677  INFO 35230 --- [main] c.a.l.i.SimulationServiceIntegrationTest : Started SimulationServiceIntegrationTest in 6.023 seconds (JVM running for 6.539)
2025-04-14 22:29:47.047  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.047  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.072  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.072  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.095  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.095  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.120  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.120  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.146  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.146  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.174  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.174  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.199  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.199  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.224  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.224  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.250  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.250  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.283  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.283  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.312  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.313  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.337  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.337  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.361  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.362  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.390  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.390  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.415  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.416  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.444  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.444  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.485  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.485  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.522  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.523  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.566  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
